# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#           t                bm_masse_c       bm_masse_actuelle   latency_alumina_mass  dissolving_alumina_mass  bath_thermal_energy_shift    mean_temperature   variance_temperature  variance_concentration_pct  variance_concentration  average_concentration_pct  average_concentration 
# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    1.000000000000e+01   2.320703433399e+02   2.320703433399e+02    0.000000000000e+00     0.000000000000e+00        8.421092471959e+05      1.223037398297e+03    2.863281474604e-04       2.715276676698e-05        1.348205379553e-02       2.993223031196e+00       6.464991148271e+01  
    1.100000000000e+01   2.320170625190e+02   2.320170625190e+02    0.000000000000e+00     0.000000000000e+00        9.263201716892e+05      1.223041138127e+03    3.374528622533e-04       3.216481886165e-05        1.596069868424e-02       2.992545299880e+00       6.463506856784e+01  
    1.200000000000e+01   2.319637816982e+02   2.319637816982e+02    0.000000000000e+00     0.000000000000e+00        1.010531096853e+06      1.223044877956e+03    3.918863082117e-04       3.751525300236e-05        1.860501956281e-02       2.991867562674e+00       6.462022565296e+01  
    1.300000000000e+01   2.319105008773e+02   2.319105008773e+02    0.000000000000e+00     0.000000000000e+00        1.094742019944e+06      1.223048617786e+03    4.495334400189e-04       4.319143669795e-05        2.140872720626e-02       2.991189819637e+00       6.460538273808e+01  
    1.400000000000e+01   2.318572200565e+02   2.318572200565e+02    0.000000000000e+00     0.000000000000e+00        1.178952945087e+06      1.223052357616e+03    5.103107134663e-04       4.918185103355e-05        2.436609529773e-02       2.990512070823e+00       6.459053982322e+01  
    1.500000000000e+01   2.318039392357e+02   2.318039392357e+02    0.000000000000e+00     0.000000000000e+00        1.263163870016e+06      1.223056097445e+03    5.741437895261e-04       5.547590716057e-05        2.747186804187e-02       2.989834316283e+00       6.457569690834e+01  
    1.600000000000e+01   2.317506584148e+02   2.319679769273e+02    2.173185124889e-01     0.000000000000e+00        1.125709913216e+06      1.223049993078e+03    3.609405753009e-02       6.206379948083e-05        3.072118607351e-02       2.989156556061e+00       6.456085399347e+01  
    1.700000000000e+01   2.317329605182e+02   2.319146961065e+02    0.000000000000e+00     1.817355883048e-01        1.191061888363e+06      1.223052895377e+03    4.127793339708e-02       9.776487166110e-05        5.351146928894e-02       2.988897571049e+00       6.455592373208e+01  
    1.800000000000e+01   2.317082806501e+02   2.318614152856e+02    0.000000000000e+00     1.531346355061e-01        1.260114308385e+06      1.223055962014e+03    4.540606888012e-02       1.709690150351e-04        9.472930397101e-02       2.988587988743e+00       6.454904844047e+01  
    1.900000000000e+01   2.316784857413e+02   2.318081344648e+02    0.000000000000e+00     1.296487235229e-01        1.331877699681e+06      1.223059149045e+03    4.869398826841e-02       2.509843616103e-04        1.376243267054e-01       2.988212694540e+00       6.454074820619e+01  
    2.000000000000e+01   2.316447666902e+02   2.317548536440e+02    0.000000000000e+00     1.100869537728e-01        1.405720886823e+06      1.223062428441e+03    5.129994563841e-02       3.257863649367e-04        1.763721903319e-01       2.987786963634e+00       6.453135478850e+01  
    2.100000000000e+01   2.316079395554e+02   2.317015728231e+02    0.000000000000e+00     9.363326777365e-02        1.481211357871e+06      1.223065780993e+03    5.334605406888e-02       3.913059756499e-04        2.093400026391e-01       2.987321263686e+00       6.452109552412e+01  
    2.200000000000e+01   2.315685911503e+02   2.316482920023e+02    0.000000000000e+00     7.970085200075e-02        1.558038102884e+06      1.223069192889e+03    5.492884876401e-02       4.468475836382e-04        2.365441211391e-01       2.986823123216e+00       6.451013388694e+01  
    2.300000000000e+01   2.315271604318e+02   2.315950111815e+02    0.000000000000e+00     6.785074960035e-02        1.635968474066e+06      1.223072653798e+03    5.612624584405e-02       4.931028168184e-04        2.586124013283e-01       2.986298175907e+00       6.449859216109e+01  
    2.400000000000e+01   2.314839868723e+02   2.315417303606e+02    0.000000000000e+00     5.774348832191e-02        1.714822550462e+06      1.223076155728e+03    5.700225311958e-02       5.312621103667e-04        2.763463115795e-01       2.985750780512e+00       6.448656491640e+01  
    2.500000000000e+01   2.314393404241e+02   2.314884495398e+02    0.000000000000e+00     4.910911565931e-02        1.794457256744e+06      1.223079692327e+03    5.761019169630e-02       5.626143784540e-04        2.905365959678e-01       2.985184405559e+00       6.447412735596e+01  
    2.600000000000e+01   2.313934407133e+02   2.314351687189e+02    0.000000000000e+00     4.172800564920e-02        1.874756192014e+06      1.223083258424e+03    5.799493424178e-02       5.883721636383e-04        3.018907669428e-01       2.984601874484e+00       6.446134066293e+01  
    2.700000000000e+01   2.313464697021e+02   2.313818878981e+02    0.000000000000e+00     3.541819601062e-02        1.955622919140e+06      1.223086849737e+03    5.819449602814e-02       6.096039079350e-04        3.110110656732e-01       2.984005527718e+00       6.444825552817e+01  
    2.800000000000e+01   2.312985802820e+02   2.313286070773e+02    0.000000000000e+00     3.002679530721e-02        2.036976401628e+06      1.223090462667e+03    5.824119967786e-02       6.272172657233e-04        3.183950359126e-01       2.983397332850e+00       6.443491454402e+01  
    2.900000000000e+01   2.312499022716e+02   2.312753262564e+02    0.000000000000e+00     2.542398476636e-02        2.118747835540e+06      1.223094094158e+03    5.816255768625e-02       6.419659883609e-04        3.244456156743e-01       2.982778961586e+00       6.442135387524e+01  
    3.000000000000e+01   2.312005467287e+02   2.312220454356e+02    0.000000000000e+00     2.149870687343e-02        2.200878362647e+06      1.223097741597e+03    5.798196601789e-02       6.544663775645e-04        3.294844788323e-01       2.982151844559e+00       6.440760446014e+01  
    3.100000000000e+01   2.311506091440e+02   2.311687646147e+02    0.000000000000e+00     1.815547074056e-02        2.283317372100e+06      1.223101402735e+03    5.771926873621e-02       6.652170456207e-04        3.337656421157e-01       2.981517212358e+00       6.439369290047e+01  
    3.200000000000e+01   2.311001718831e+02   2.317674393314e+02    6.519555374668e-01     1.531191078935e-02        1.701026564116e+06      1.223075543045e+03    2.880631546468e-01       6.746183549552e-04        3.374879854941e-01       2.980876126737e+00       6.437964214152e+01  
    3.300000000000e+01   2.311545089582e+02   2.317141585105e+02    0.000000000000e+00     5.596495523387e-01        1.728200003377e+06      1.223076749824e+03    3.138833372944e-01       9.938415201596e-04        5.291528835207e-01       2.981461498403e+00       6.439477930659e+01  
